Total contribution to GDP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Local currency in bn,5.25223,4.42535,4.03009,3.47518,4.63291,4.95022,5.96027,6.20432,6.91756,7.81154,8.09917,8.74703,9.91322,10.4514,9.48607,9.48104,10.7369,12.1393,13.1487,13.6923,13.9961,13.8701,13.6391,11.0538,12.3245,11.9788,12.5815,13.0448,13.6166,13.9721,14.288,14.5921,14.9139,15.2949,15.6911,16.1191,16.582,17.0044
US$ in bn,3.09479,2.60757,2.37467,2.0477,2.72987,2.91684,3.51199,3.6558,4.07606,4.60282,4.77231,5.15405,5.84121,6.15833,5.58952,5.58655,6.32655,7.15287,7.74764,8.06794,8.24697,8.17276,8.0366,6.51326,7.26199,7.05833,7.41342,7.68646,8.02334,8.23286,8.41897,8.59816,8.78776,9.01228,9.24574,9.4979,9.77067,10.0196
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),5.48016,8.17748,8.28791,22.6439,75.8608,103.018,93.4887,176.907,296.208,349.403,345.221,437.111,867.388,821.45,894.227,1006.6,1232.42,1560.08,1624.49,1822.9,2199.44,2777.63,3200.68,4324.49,5188.71,5618.58,6395.45,7250.2,8174.28,9143.21,10152.3,11254.3,12406,13644.2,15016.8,16577.3,18310.5,20394.6
Percentage of GDP,0.848591,0.673569,0.504713,0.990185,1.99723,2.50229,1.73982,2.84416,4.3533,4.60526,4.13665,4.70373,8.64794,7.37918,7.45811,7.27155,8.07033,8.72628,8.05557,7.80653,7.80606,8.26773,8.55522,9.4025,9.70306,9.54485,9.89218,10.0654,10.2356,10.3076,10.2851,10.2458,10.2162,10.2067,10.1996,10.2137,10.224,10.2388
US$ in bn (Nominal),0.05,0.04,0.02,0.03,0.07,0.09,0.1,0.182582,0.28316,0.322622,0.278334,0.300455,0.527454,0.467887,0.49747,0.512599,0.680782,0.876122,0.886995,1.05768,1.27841,1.36796,1.46985,1.7142,2.07171,2.17194,2.45978,2.62667,2.91938,3.21879,3.52263,3.84864,4.18079,4.52653,4.90422,5.32932,5.7945,6.33956
Percentage growth,-100,-15.3403,-20.1917,107.968,111.284,33.7795,-23.0961,78.732,62.5155,11.453,-1.45966,21.1278,91.8755,-7.19663,8.20831,3.49977,17.429,18.9431,-1.17408,4.72381,10.4206,10.2908,9.88841,16.988,6.86078,3.01342,9.13131,7.95972,8.09755,7.55164,6.76534,6.59187,5.9931,5.75081,5.82729,6.14532,6.20707,7.09818
Local currency in bn,99.9402,84.6091,67.5251,140.431,296.707,396.933,305.257,545.593,886.673,988.223,973.799,1179.54,2263.25,2100.37,2272.78,2352.32,2762.3,3285.57,3246.99,3400.38,3754.71,4141.1,4550.59,5323.65,5688.89,5860.32,6395.44,6904.5,7463.6,8027.22,8570.29,9135.24,9682.72,10239.6,10836.2,11502.2,12216.1,13083.2
US$ in bn,0.04,0.03,0.03,0.05,0.114118,0.152667,0.117407,0.209844,0.341029,0.380087,0.374539,0.453671,0.870483,0.807837,0.874147,0.90474,1.06243,1.26368,1.24885,1.30784,1.44412,1.59274,1.75023,2.04756,2.18804,2.25398,2.45979,2.65559,2.87062,3.0874,3.29627,3.51356,3.72413,3.9383,4.1678,4.42392,4.69852,5.03203
Democratic Republic of Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0,0,0,0,0,0,0,0.01,0.120897,0.121663,0.161359,1.06069,6.33967,26.9135,33.2343,52.0902,55.5387,75.7668,79.5097,114.508,172.193,275.227,287.497,364.453,405.532,452.858,473.449,518.267,584.523,663.678,725.366,796.107,870.744,967.772,1074,1191.21,1326.85,1484.79
Percentage of GDP,3.13959,0.439328,0.974736,1.20439,1.54176,1.87647,1.37017,1.44255,4.17137,1.55901,1.6153,2.04672,2.1341,1.91209,1.72888,2.26611,2.13528,2.22324,1.95519,2.22425,2.63857,3.04904,2.40597,2.46911,2.34241,2.37148,2.23139,2.17117,2.17172,2.18801,2.1486,2.13687,2.11949,2.12947,2.14295,2.15778,2.18371,2.21291
US$ in bn (Nominal),0.168025,0.04,0.09,0.10779,0.126524,0.200928,0.08,0.08,0.240903,0.09,0.100431,0.263964,0.290411,0.130181,0.1,0.128491,0.139028,0.159876,0.169791,0.221593,0.307878,0.339874,0.317357,0.396364,0.44091,0.492349,0.511254,0.543071,0.597187,0.668038,0.719343,0.777825,0.838177,0.917809,1.0035,1.09656,1.20338,1.30988
Percentage growth,-100,-77.061,106.826,11.3821,16.3382,5.31739,-74.2396,209.033,169.7,-63.3116,1.93605,162.204,7.4355,-12.2845,-6.44543,38.665,0.483215,12.2414,-7.14868,20.8804,25.9292,18.7617,-15.4185,9.6727,1.67264,9.84658,2.09193,5.25042,7.92736,8.13531,4.09026,4.52637,4.16683,5.85083,5.69218,5.63151,6.08252,6.57506
Local currency in bn,590.809,81.4936,168.82,191.011,218.842,230.361,161.696,171.457,490.277,173.326,176.465,214.047,207.785,182.26,170.513,236.441,237.584,266.667,247.604,299.305,376.912,447.627,378.61,415.232,422.177,463.747,473.448,498.306,537.809,581.561,605.349,632.749,659.115,697.678,737.391,778.918,826.295,880.625
US$ in bn,0.153207,0.04,0.07,0.08,0.09,0.1,0.03,0.08,0.212978,0.08,0.08,0.208848,0.224377,0.196813,0.184128,0.255321,0.256555,0.287961,0.267375,0.323204,0.407009,0.48337,0.408842,0.448388,0.455888,0.500777,0.511253,0.538096,0.580753,0.627999,0.653685,0.683274,0.711744,0.753387,0.796272,0.841114,0.892275,0.950942
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0,0,0,0.01,0.03,0.05,0.08,0.109687,0.188444,0.236032,0.262434,0.331969,0.57678,0.910276,1.05891,1.29104,1.53561,2.11123,2.0098,2.73701,3.35504,4.07842,4.7327,5.568,6.8482,7.88371,9.19455,10.3201,11.8413,13.5368,15.4265,17.5526,19.9028,22.5072,25.4875,28.9099,32.8516,37.688
Percentage of GDP,0.545924,0.713446,2.22709,5.57563,5.51899,3.65851,3.51338,3.65623,4.71109,4.62808,4.3739,4.42626,5.7107,6.89603,6.49635,6.5204,5.46481,6.26478,4.72895,6.06875,6.69668,6.33295,5.63416,5.50198,5.88839,5.9884,6.09666,6.01012,6.04606,6.07729,6.12974,6.19618,6.25049,6.29927,6.35483,6.41552,6.48227,6.55762
US$ in bn (Nominal),0.04,0.06,0.08,0.185854,0.194788,0.12195,0.115365,0.127543,0.155738,0.180177,0.141094,0.138899,0.18546,0.252154,0.24066,0.272947,0.321258,0.47337,0.558279,0.684252,0.894677,0.807608,0.985978,1.14568,1.32975,1.45995,1.49405,1.58719,1.82114,2.05819,2.31798,2.60176,2.90228,3.19615,3.52445,3.89276,4.30728,4.80189
Percentage growth,-100,29.2934,51.4889,159.618,11.9031,-32.0374,-10.0462,2.80164,37.8277,1.43714,-7.23075,3.50002,33.5782,26.5575,-2.61391,5.52335,-11.7241,20.7994,-19.8352,36.3072,16.6077,0.518715,-4.25425,4.06638,14.1901,7.6174,8.18456,5.18754,8.14281,8.25619,8.32713,8.26067,7.88748,7.59837,7.74635,7.9241,8.12055,9.15514
Local currency in bn,0.609355,0.787856,1.19351,3.09858,3.46741,2.35654,2.1198,2.17919,3.00352,3.04669,2.82639,2.92531,3.90758,4.94533,4.81607,5.08208,4.48625,5.41936,4.34442,5.92176,6.90523,6.94105,6.64576,6.916,7.89739,8.49896,9.19456,9.67153,10.4591,11.3226,12.2654,13.2786,14.326,15.4145,16.6086,17.9247,19.3803,21.1546
US$ in bn,0.1,0.128021,0.193937,0.503496,0.563428,0.38292,0.344451,0.354102,0.48805,0.495064,0.459267,0.475342,0.634953,0.80358,0.782575,0.8258,0.728982,0.880606,0.705936,0.962242,1.12205,1.12787,1.07989,1.1238,1.28327,1.38102,1.49405,1.57155,1.69952,1.83984,1.99304,2.15768,2.32787,2.50475,2.69877,2.91263,3.14915,3.43746
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.456751,0.508823,0.546945,0.450842,0.418983,0.425943,0.475173,0.432301,0.642164,0.641307,0.503181,0.547471,0.464514,0.400077,0.694096,0.347132,0.674975,0.709188,0.950394,0.775973,1.03508,0.952554,0.871043,1.1193,1.23447,1.36439,1.44434,1.5312,1.6239,1.744,1.87868,2.02176,2.16602,2.32608,2.50521,2.71176,2.93769,3.18635
Percentage of GDP,3.28276,3.45809,3.50359,3.09516,3.48814,3.65053,3.87335,3.40634,4.14218,4.02087,4.50328,5.15495,4.6269,4.01328,7.33873,3.89244,7.90561,8.56882,11.7115,9.68673,14.1631,11.6776,9.24462,10.216,9.96124,10.1139,10.3942,10.5615,10.5286,10.5564,10.6369,10.7177,10.7715,10.8513,10.9633,11.1325,11.3133,11.5128
US$ in bn (Nominal),0.456751,0.508823,0.546945,0.450842,0.418983,0.425943,0.475173,0.432301,0.642164,0.641307,0.503181,0.547471,0.464514,0.400077,0.694096,0.347132,0.674975,0.709188,0.950394,0.775973,1.03508,0.952554,0.871043,1.1193,1.23447,1.36439,1.44431,1.53107,1.62376,1.74386,1.87852,2.02159,2.16584,2.32589,2.505,2.71154,2.93744,3.18608
Percentage growth,-100,10.8357,8.39087,-6.77891,4.77139,6.86423,12.2587,-11.9141,33.4388,-1.54443,12.5488,10.3534,-17.5755,-13.4299,72.0006,-50.9179,95.7033,3.98515,31.7231,-19.9914,39.2784,-3.57758,-11.829,23.664,7.80788,6.08573,5.85469,4.95422,3.97455,4.77685,5.09448,4.99187,4.52158,4.77133,5.07344,5.60534,5.68832,5.81941
Local currency in bn,0.311703,0.345478,0.374466,0.349082,0.365738,0.390843,0.438755,0.386481,0.515716,0.507751,0.571468,0.630634,0.519797,0.449989,0.773983,0.379887,0.743451,0.773079,1.01832,0.814746,1.13476,1.09417,0.964738,1.19303,1.28618,1.36446,1.44434,1.5159,1.57615,1.65144,1.73557,1.82221,1.9046,1.99548,2.09672,2.21424,2.3402,2.47638
US$ in bn,0.311697,0.345471,0.37446,0.349075,0.365731,0.390836,0.438747,0.386474,0.515706,0.507742,0.571457,0.630623,0.519787,0.44998,0.773969,0.37988,0.743437,0.773065,1.0183,0.814731,1.13474,1.09415,0.96472,1.19301,1.28616,1.36443,1.44432,1.51587,1.57612,1.65141,1.73554,1.82218,1.90457,1.99544,2.09668,2.2142,2.34015,2.47634
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.108067,0.101806,0.126451,0.126503,0.126171,0.153942,0.196701,0.178307,0.201698,0.240605,0.245951,0.238665,0.223711,0.236925,0.215249,0.235276,0.249808,0.307077,0.368875,0.408288,0.39253,0.349768,0.369868,0.424043,0.426979,0.456495,0.48094,0.506789,0.545115,0.585077,0.630177,0.672145,0.700268,0.72939,0.760731,0.793197,0.830311,0.871727
Percentage of GDP,73.115,55.3561,61.9566,60.4161,55.3344,61.9058,70.8888,63.6613,68.1964,72.6431,65.7061,60.0097,55.1502,56.6393,50.5758,51.0463,46.0067,49.6657,48.1945,42.5633,40.9841,45.8385,51.0824,53.5197,55.4978,59.4544,61.2217,61.4592,62.4948,63.2885,64.3197,64.8545,63.9994,63.1401,62.4965,61.9626,61.7961,61.8119
US$ in bn (Nominal),0.04,0.04,0.05,0.05,0.05,0.06,0.07,0.07,0.07,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.113732,0.13662,0.151218,0.145381,0.129544,0.136988,0.157053,0.15814,0.169072,0.178114,0.187687,0.20188,0.21668,0.233383,0.248926,0.259341,0.270126,0.281733,0.293757,0.307502,0.32284
Percentage growth,-100,-17.864,40.4702,-20.3632,18.1396,20.1817,23.6774,-12.2797,9.80916,17.9055,-0.224937,-5.30209,-6.75505,5.95758,-14.384,5.91632,-2.90038,20.4575,15.4527,-3.6276,-3.8656,-3.81381,5.15857,3.74074,1.76804,6.7119,4.92863,3.20462,4.93938,4.71288,5.08427,4.05888,1.64142,1.6169,1.75211,1.72356,2.12477,2.42625
Local currency in bn,0.207259,0.170234,0.239128,0.190434,0.224978,0.270382,0.334402,0.293338,0.322112,0.379788,0.378934,0.358842,0.334602,0.354537,0.30354,0.321498,0.312174,0.376037,0.434145,0.418396,0.402222,0.386882,0.40684,0.422058,0.429521,0.45835,0.48094,0.496352,0.520869,0.545417,0.573147,0.596411,0.6062,0.616002,0.626795,0.637598,0.651146,0.666944
US$ in bn,0.08,0.06,0.09,0.07,0.08,0.100135,0.123844,0.108637,0.119293,0.140653,0.140337,0.132896,0.123919,0.131301,0.112415,0.119066,0.115612,0.139264,0.160784,0.154951,0.148961,0.14328,0.150671,0.156308,0.159071,0.169748,0.178114,0.183822,0.192902,0.201993,0.212263,0.220878,0.224504,0.228134,0.232131,0.236132,0.241149,0.247
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.8834,1.08961,1.22752,1.32956,1.37952,1.51283,1.27413,1.15009,1.35709,1.52829,1.45778,1.4037,1.33434,1.31692,1.37876,1.41129,1.59587,1.59652,1.82858,2.08983,2.42789,2.35667,2.0436,1.90779,1.9888,1.93344,2.00072,2.07938,2.23543,2.39416,2.56645,2.74765,2.91678,3.09403,3.28776,3.49435,3.71491,3.95291
Percentage of GDP,81.8548,91.5779,98.3824,101.572,101.841,104.2,79.8974,73.1155,78.7256,82.7154,73.784,67.5796,63.049,63.0357,63.6301,62.2266,65.7938,59.2859,59.6623,60.0356,66.7397,72.3503,66.6548,62.5346,61.1427,59.6449,58.3237,57.7491,58.5205,59.3086,60.2195,61.0964,61.4924,61.9332,62.4256,62.9587,63.5246,64.1451
US$ in bn (Nominal),0.327185,0.403561,0.454639,0.492429,0.510934,0.560308,0.4719,0.425961,0.502625,0.566034,0.539917,0.51989,0.494202,0.487748,0.510651,0.522701,0.591063,0.591302,0.677253,0.774012,0.899217,0.872841,0.756891,0.70659,0.736594,0.716089,0.740944,0.770021,0.827808,0.886587,0.95039,1.01749,1.08012,1.14468,1.21518,1.29029,1.37041,1.45522
Percentage growth,-100,16.2262,11.6951,3.12529,0.82402,7.51542,-18.5907,-13.0185,14.211,10.9081,-6.40163,-3.89027,-3.65384,-3.21458,3.89484,3.57736,11.3221,-4.40984,14.0962,10.1841,11.2459,-4.64114,-14.4529,-8.39017,1.98306,-3.80051,3.26398,2.08776,4.88237,4.48846,4.58209,4.4995,3.66739,3.59143,3.77058,3.79274,3.82063,3.91238
Local currency in bn,1.51115,1.75636,1.96176,2.02308,2.03975,2.19304,1.78534,1.55292,1.7736,1.96707,1.84114,1.76952,1.70486,1.65006,1.71432,1.77565,1.97669,1.88952,2.15588,2.37543,2.64257,2.51992,2.15572,1.97485,2.01402,1.93747,2.00071,2.04248,2.1422,2.23836,2.34092,2.44625,2.53596,2.62704,2.7261,2.82949,2.93759,3.05252
US$ in bn,0.559639,0.650447,0.726518,0.749224,0.755398,0.812169,0.661181,0.575105,0.656833,0.728482,0.681847,0.655321,0.631377,0.611081,0.634881,0.657593,0.732047,0.699765,0.798405,0.879715,0.978647,0.933227,0.798349,0.731366,0.745869,0.717522,0.740942,0.756411,0.793342,0.828951,0.866934,0.905942,0.939166,0.972896,1.00958,1.04787,1.08791,1.13047
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.01,0.371084,8.35297,20.5995,25.6347,26.7657,24.6288,26.3411,27.5613,31.5766,32.3966,31.2014,30.8093,29.2353,44.035,44.5659,57.1002,80.8523,102.972,130.407,153.678,161.553,197.887,239.73,287.832,349.502,454.081,588.734,729.143,853.888,953.791,1040.89,1128.59,1218.05,1318.76,1415.45,1518.57,1624.16
Percentage of GDP,8.44167,9.44306,10.0048,9.40046,9.33732,9.34254,7.8976,8.4273,8.36024,8.90089,8.94603,9.08474,8.94908,8.98198,11.6296,9.78692,10.6564,12.4915,12.7347,12.6937,11.9696,11.4452,10.928,10.3689,10.4077,10.2606,10.4408,10.4571,10.4072,10.4018,10.404,10.3839,10.3621,10.3712,10.4256,10.4016,10.3953,10.4025
US$ in bn (Nominal),12.9919,8.76542,17.1311,21.4333,25.6347,26.7657,24.6288,26.3411,27.5613,31.5766,32.3966,31.2014,30.8093,29.2353,13.7681,15.1327,19.3834,27.5946,33.4688,41.7971,48.3265,43.1286,50.4492,57.929,63.2367,63.8263,55.8864,64.9624,76.5275,85.3972,90.4949,93.7167,96.6765,99.7105,104.319,109.149,114.558,116.496
Percentage growth,-100,3.95466,6.8231,1.705,8.37673,4.99056,-10.5387,3.62878,4.6775,15.0992,4.38255,-1.89393,-2.25791,-4.06593,15.8847,-8.72166,15.7464,28.0194,10.4771,7.76963,-2.93548,-4.28323,4.30162,3.33488,1.69279,2.69913,1.36324,0.698746,2.10442,2.66849,2.89239,2.84871,2.89112,3.18576,3.60641,2.71109,2.66685,2.34833
Local currency in bn,166.535,173.121,184.933,188.087,203.842,214.015,191.46,198.408,207.689,239.048,249.524,244.799,239.271,229.543,266.005,242.805,281.038,359.783,397.478,428.361,415.786,397.977,415.097,428.939,436.2,447.974,454.081,457.254,466.876,479.335,493.199,507.249,521.914,538.541,557.963,573.09,588.373,602.19
US$ in bn,20.4965,21.307,22.7608,23.1489,25.088,26.3401,23.5641,24.4192,25.5614,29.421,30.7104,30.1288,29.4485,28.2511,32.7387,29.8834,34.5889,44.2806,48.9199,52.7208,51.1732,48.9813,51.0883,52.792,53.6857,55.1347,55.8864,56.2769,57.4612,58.9945,60.7009,62.4301,64.235,66.2813,68.6717,70.5335,72.4145,74.115
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.644953,0.725992,0.813227,0.789488,0.942455,0.962922,0.955508,1.15461,1.50705,1.73959,1.90787,1.84506,1.81524,1.78095,1.85767,1.82557,2.26572,2.4707,2.58473,2.8656,3.13819,3.16783,3.38067,3.27791,3.71226,3.95745,4.16848,4.35279,4.65908,4.9513,5.24576,5.55672,5.8673,6.17942,6.49497,6.8159,7.15402,7.52023
Percentage of GDP,55.5467,55.3348,52.5273,50.5758,54.9216,49.6607,42.8479,48.8415,61.0141,63.4424,64.0009,59.8269,54.1379,51.8169,53.4582,50.458,56.7992,59.221,59.5559,61.2178,63.8622,70.8212,79.0061,71.821,81.66,85.4002,88.3806,89.2725,91.4861,92.5391,93.0463,93.3576,93.3704,93.3074,93.0502,93.3599,93.7162,93.9829
US$ in bn (Nominal),0.360309,0.405582,0.454317,0.441055,0.526511,0.537945,0.533803,0.645036,0.841927,0.971839,1.06585,1.03076,1.0141,0.994943,1.03781,1.01987,1.26577,1.38028,1.44398,1.6009,1.75318,1.76974,1.88864,1.83124,2.07389,2.21086,2.32874,2.43169,2.6028,2.76604,2.93055,3.10426,3.27777,3.45213,3.62842,3.8077,3.99659,4.20118
Percentage growth,-100,8.26926,5.8595,-8.07795,15.0135,-2.96766,-12.5821,24.7576,26.478,12.1054,7.60549,-5.43676,-5.44356,-4.63022,0.955238,-5.1886,21.0481,5.46759,0.966583,5.1952,0.509682,3.14782,7.92168,-8.81383,12.1355,9.74015,5.11241,3.23293,5.14348,3.68025,3.06146,2.84294,2.5141,2.25215,2.04517,1.88409,1.90419,2.05711
Local currency in bn,1.45875,1.57938,1.67192,1.53686,1.7676,1.71514,1.49934,1.87054,2.36582,2.65222,2.85393,2.69877,2.55186,2.4337,2.45695,2.32947,2.81978,2.97395,3.0027,3.1587,3.1748,3.27473,3.53415,3.22265,3.61374,3.96572,4.16847,4.30323,4.52457,4.69108,4.8347,4.97214,5.09715,5.21194,5.31854,5.41874,5.52193,5.63552
US$ in bn,0.814937,0.882326,0.934026,0.858576,0.987478,0.958173,0.837614,1.04499,1.32168,1.48167,1.59436,1.50768,1.42561,1.3596,1.37259,1.30137,1.57528,1.66141,1.67747,1.76462,1.77361,1.82944,1.97437,1.80035,2.01883,2.21547,2.32873,2.40402,2.52767,2.62069,2.70093,2.77771,2.84755,2.91168,2.97123,3.02721,3.08485,3.14831
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),1.53308,1.80256,1.86862,1.73529,1.79788,1.83452,1.91156,2.01671,2.12882,2.332,2.21705,2.44987,2.57509,2.51301,2.68606,2.69583,2.98812,3.26083,3.30255,3.397,3.35563,3.25287,3.51136,3.50008,3.74938,3.64413,3.78408,4.10439,4.45924,4.76537,5.03527,5.26725,5.49623,5.72376,5.95437,6.21227,6.47159,6.74821
Percentage of GDP,59.4469,61.2324,61.3287,60.0819,62.9266,64.2879,62.6105,65.7038,57.7763,54.235,46.0762,46.237,40.6962,38.5625,38.6038,38.7929,42.1194,42.3143,41.4602,40.8342,40.6905,41.5947,44.3937,44.1289,45.6196,43.2774,43.6357,45.4019,47.1805,48.3958,49.1759,49.5177,49.8109,50.0552,50.2964,50.6858,51.0012,51.3679
US$ in bn (Nominal),1.53308,1.80256,1.86862,1.73529,1.79788,1.83452,1.91156,2.01671,2.12882,2.332,2.21705,2.44987,2.57509,2.51301,2.68606,2.69583,2.98812,3.26083,3.30255,3.397,3.35563,3.25287,3.51136,3.50008,3.74938,3.64413,3.78393,4.10387,4.45867,4.76476,5.03462,5.26657,5.49553,5.72303,5.95361,6.21148,6.47076,6.74735
Percentage growth,-100,5.37285,-1.44175,-6.12955,0.728035,2.47762,0.457695,9.53551,-8.35172,-1.48644,-9.1446,4.07047,-0.576988,-2.75414,2.81355,-0.781021,9.53419,3.87305,0.447975,-0.09,-2.66644,-2.04657,7.78342,1.0523,5.27265,-4.52615,2.30499,6.32874,6.51543,5.07882,3.99924,3.06123,2.80558,2.6008,2.49147,2.78975,2.63479,2.73289
Local currency in bn,3.32881,3.50767,3.45709,3.24519,3.26882,3.3498,3.36514,3.68602,3.37817,3.32796,3.02363,3.14671,3.12855,3.04239,3.12798,3.10355,3.39945,3.53112,3.54693,3.5439,3.44941,3.37881,3.6418,3.68012,3.87416,3.69881,3.78407,4.02355,4.2857,4.50337,4.68347,4.82684,4.96226,5.09132,5.21817,5.36374,5.50506,5.65551
US$ in bn,3.32869,3.50754,3.45697,3.24507,3.2687,3.34968,3.36501,3.68588,3.37805,3.32784,3.02352,3.14659,3.12843,3.04227,3.12787,3.10344,3.39933,3.53098,3.5468,3.54377,3.44928,3.37869,3.64167,3.67999,3.87402,3.69868,3.78393,4.0234,4.28555,4.5032,4.68329,4.82666,4.96208,5.09113,5.21797,5.36354,5.50486,5.6553
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),1.24291,1.42511,1.37344,1.27572,1.33007,1.52542,1.71532,1.68992,1.97706,2.04914,2.17657,2.0849,2.14453,2.107,2.08487,2.37659,2.44041,3.18497,3.62012,3.69004,3.81092,3.59104,3.34141,3.42806,3.431,3.35215,3.37024,3.48571,3.70266,3.94144,4.1647,4.38973,4.64323,4.88726,5.1401,5.40869,5.69684,6.01634
Percentage of GDP,34.1577,35.4176,34.0037,31.8301,34.3156,37.2854,39.8512,37.3472,40.9151,40.1336,37.8704,34.5897,34.6076,34.0255,33.4661,36.6249,34.9173,40.7483,43.1316,41.154,43.8672,40.8383,39.3561,39.7428,37.8467,36.3832,36.1291,36.6685,37.8466,38.799,39.3084,39.4749,39.8194,40.022,40.2221,40.5197,40.9678,41.6117
US$ in bn (Nominal),0.621454,0.712553,0.686722,0.63786,0.665037,0.762711,0.857659,0.844961,0.98853,1.02457,1.08828,1.04245,1.07226,1.0535,1.04243,1.1883,1.2202,1.59248,1.81006,1.84502,1.90546,1.79552,1.67071,1.71403,1.7155,1.67607,1.68509,1.74276,1.85123,1.97061,2.08224,2.19475,2.32149,2.4435,2.56991,2.7042,2.84827,3.00801
Percentage growth,-100,7.42141,-7.16036,-10.043,0.262024,9.95829,10.943,-4.40923,13.9356,2.70015,-2.14777,-8.29758,2.35274,-4.23817,-0.955704,11.6277,-3.32764,21.3673,11.8823,-2.96288,6.9126,-10.7217,-3.43671,1.58862,-4.10439,-4.05931,-1.19413,1.79502,4.29461,4.46439,3.59241,3.23553,3.49477,2.98766,2.90669,2.95809,3.0583,3.3325
Local currency in bn,2.6045,2.7978,2.59746,2.3366,2.34272,2.57602,2.85791,2.7319,3.11261,3.19665,3.128,2.86845,2.93594,2.81151,2.78464,3.10843,3.00499,3.64707,4.08043,3.95953,4.23324,3.77936,3.64948,3.70745,3.55528,3.41096,3.37023,3.43073,3.57807,3.7378,3.87208,3.99736,4.13706,4.26066,4.38451,4.51421,4.65226,4.8073
US$ in bn,1.30223,1.39887,1.29871,1.16828,1.17134,1.28799,1.42893,1.36593,1.55628,1.5983,1.56397,1.4342,1.46794,1.40573,1.39229,1.55419,1.50247,1.8235,2.04018,1.97973,2.11658,1.88965,1.82471,1.85369,1.77761,1.70545,1.68509,1.71533,1.789,1.86887,1.93601,1.99865,2.06849,2.13029,2.19222,2.25706,2.32609,2.40361
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.114758,0.100902,0.133286,0.141401,0.152819,0.189898,0.20051,0.235153,0.285944,0.293927,0.317161,0.327619,0.372356,0.369208,0.388638,0.479802,0.571062,0.717616,0.862824,0.977923,0.991905,0.933193,0.944286,0.915879,1.0805,1.21989,1.31182,1.34587,1.41835,1.50548,1.60878,1.72136,1.83749,1.95962,2.08912,2.22564,2.37307,2.53418
Percentage of GDP,18.2213,13.8926,16.4388,16.3432,14.7494,16.9673,17.266,18.9639,22.2941,22.4578,23.0228,22.3052,22.3758,21.1738,20.8374,24.2226,26.9916,32.2032,35.4357,37.8878,36.2366,34.9001,33.7945,30.7962,34.3268,37.5512,39.234,38.4857,38.5591,38.8193,39.2276,39.7565,40.2757,40.7417,41.1916,41.6874,42.2453,42.8442
US$ in bn (Nominal),0.06,0.05,0.07,0.07,0.08,0.09,0.100255,0.117576,0.142972,0.146964,0.158581,0.16381,0.186178,0.184604,0.194319,0.239901,0.285531,0.358808,0.431412,0.488961,0.495953,0.466597,0.472143,0.45794,0.540252,0.609944,0.655883,0.672892,0.70913,0.752691,0.804338,0.860624,0.918684,0.979743,1.04449,1.11275,1.18646,1.26701
Percentage growth,-100,-11.9439,31.5111,2.0375,-2.29069,22.0776,2.00051,10.5681,19.2793,4.31368,6.33044,6.27928,12.3578,-0.618492,3.37022,27.1724,16.5914,22.3346,15.1508,8.08409,-1.25768,-3.06526,0.08,-6.91769,15.6438,11.1229,6.04707,0.577736,3.01575,3.59417,4.23523,4.38819,4.14257,4.0451,4.00884,3.93639,4.02306,4.18453
Local currency in bn,0.185367,0.163227,0.214661,0.219035,0.214018,0.261268,0.266494,0.294658,0.351466,0.366627,0.389836,0.414315,0.465515,0.462635,0.478227,0.608173,0.709077,0.867447,0.998872,1.07962,1.06604,1.03337,1.03415,0.962609,1.1132,1.23702,1.31182,1.3194,1.35919,1.40804,1.46767,1.53208,1.59555,1.66009,1.72664,1.7946,1.8668,1.94492
US$ in bn,0.09,0.08,0.107326,0.109513,0.107004,0.130628,0.133242,0.147323,0.175726,0.183306,0.19491,0.207149,0.232748,0.231308,0.239104,0.304074,0.354524,0.433706,0.499416,0.539789,0.533,0.516662,0.517052,0.481284,0.556575,0.618483,0.655883,0.659672,0.679566,0.703991,0.733806,0.766007,0.79774,0.830009,0.863283,0.897265,0.933362,0.972419
